City,UberStart
Belfast,2015
Birmingham,2015
Bournemouth,2016
Bradford,2014
Brighton,2016
Bristol,2017
Burnley,2014
Cambridge,2016
Cardiff,2016
Chatham,2017
Coventry,2015
Crawley,2016
Derby,2015
Doncaster,2015
Edinburgh,2015
Glasgow,2015
Huddersfield,2014
Ipswich,2016
Leeds,2014
Leicester,2015
Liverpool,2015
London,2012
Manchester,2014
Mansfield,2015
Middlesbrough,2015
Newcastle,2015
Norwich,2016
Nottingham,2015
Peterborough,2016
Portsmouth,2016
Sheffield,2015
Southampton,2016
Wakefield,2014
Warrington,2014
Wigan,2014
Worthing,2016
York,2016
